Sample_id	depth	Tie points Age ( Ma)	Interpolated_Age	Clusters	Precession	Eccentricity	Obliquity	Insolation	R.minuta	R.haqii	R.zancleana 	R.pseudoumbiilicus 	C.pelagicus	H.carteri	S.abies	C.leptoporus	Discoaster.spp.	U.rotula	U.jafari	R.clavigera	P.japonica	P.discopora	P.multipora	S.pulchra	Globigerinoidesspp.	G.scitula	Globigerina.spp.	Globigerinita.spp.	Globigerinella.spp.	Negloboquadrina.Dx	Negloboquadrina.Sx	Globoturborotalita.spp. 	T.quinqueloba 	O.universa	Sphaeroidinellopsis.spp	WO	CO	WO/CE
MP.10b 	840		-5.230679457	3	-0.02877	0.029259	0.402489	182.383905																	1.23	0.41	13.58	23.05	1.23	1.65	0.41	52.26	2.88	3.29	0	5.76	53.9	0.106864564
MP.10 	830	-5.236	-5.236568421	3	-0.02588	0.029217	0.404106	179.377275	55	4.52	0	25.32	4.19	1.29	1.13	1.94	0	0.16	5.48	0	0	0.32	0.32	0	2.56	2.56	21.25	12.45	2.56	13.19	0	41.76	2.56	1.1	0	18.31	46.88	0.390571672
MP.9d 	810		-5.239536842	3	-0.020738	0.029145	0.405695	176.868758																	2.56	1.28	15.35	9.72	0.51	18.41	0.51	42.46	3.58	3.84	0	22.5	46.3	0.485961123
MP.9c 	800		-5.242505263	3	0.018113	0.028374	0.41199	176.361327	25.34	9.43	0.2	45.58	4.13	4.72	2.55	4.72	0.98	0.39	0.98	0.39	0	0.2	0	0.2	12.14	0	12.14	6.67	0	38.33	1.19	20.48	0.95	6.67	0	39.48	32.62	1.210300429
MP.9b 	790		-5.245473684	3	0.023489	0.028126	0.41273	178.660872																	5	2.08	20.42	10.83	0	25.42	1.67	18.33	1.25	11.25	0	26.67	25.41	1.049586777
MP.9 	780		-5.248442105	3	0.027623	0.027625	0.413569	184.433245	57.91	5.38	0.33	19.25	1.96	2.61	2.12	2.28	0	0.33	6.53	0.16	0.33	0.33	0	0.49	3.4	1.94	16.02	4.85	1.94	14.56	0.49	42.72	3.88	10.19	0	20.87	48.06	0.434248856
MP.8d 	760		-5.254378947	3	0.022197	0.027063	0.413559	190.048822																	6.04	3.02	16.98	0.75	1.13	15.09	0	48.3	1.51	6.79	0	17.73	57.36	0.309100418
MP.8c 	750		-5.257347368	3	0.009295	0.026366	0.412783	193.490315	39.74	8.85	0.19	32.02	6.03	2.45	5.65	2.07	0	0.94	1.13	0	0	0	0.19	0.38	7.64	0.35	12.85	4.86	0	12.85	0.69	51.04	2.78	6.94	0	16.01	59.03	0.271218025
MP.8b 	740		-5.260315789	2	-0.006194	0.025626	0.411389	193.54844																	5.66	4.15	15.85	5.66	0	9.81	1.13	54.72	1.51	1.51	0	11.32	64.53	0.175422284
MP.8 	730		-5.263284211	2	-0.022932	0.023472	0.406372	182.390901	40.2	3	0	15	3	2.4	7	6	0.6	2.2	9.2	2.4	1	0	0.2	7.4	8.92	3.32	17.01	6.85	0	8.09	0.83	48.34	4.56	0.83	1.24	20.05	60.58	0.330967316
MP.7d 	710		-5.269221053	2	-0.015024	0.022607	0.404229	178.045407																	4.94	0	16.35	4.94	0.76	6.46	1.14	62.74	0.76	1.14	0	7.98	67.68	0.117907801
MP.7c 	700		-5.272189474	2	-0.001979	0.02163	0.402267	176.350833	40.8	2.2	0	13.8	3.4	3.8	8	4	0.4	1.6	12.8	2.4	0	0.8	0	6	4.48	0.24	14.62	5.42	0.24	19.58	1.65	45.28	0.47	3.07	0.24	26.29	50	0.5258
MP.7b 	690		-5.275157895	2	0.010857	0.020593	0.400634	177.795214																	7.17	0.68	17.06	3.75	0	29.69	2.39	34.13	2.05	2.73	0.34	31.74	41.98	0.756074321
MP.7a 	680		-5.278126316	2	0.009806	0.017503	0.398689	189.518998	39	3	0	18.6	5	2.4	6.4	4	0.2	1	11.6	2.6	0.6	0	0	5.4	4.26	0	22.8	4.56	0	18.24	1.22	40.73	3.34	1.52	3.34	26.98	44.99	0.59968882
MP.6d 	660		-5.284063158	2	0.004184	0.016957	0.398858	190.235262	41.4	3.6	0	19.6	2.4	3.4	5.6	3	0.4	1.6	13.8	1.2	0.2	0	0.4	3.4	5.74	0.48	10.53	4.78	0	17.22	1.44	53.59	2.39	2.39	0.96	23.01	59.81	0.384718275
MP.6c 	650		-5.287031579	2	-0.01391	0.014576	0.402776	182.506648																	6.76	1.35	14.86	6.31	0.9	13.96	0.45	45.05	6.76	1.8	1.8	21.62	53.16	0.406696764
MP.6b 	640	-5.29	-5.29	2	-0.007237	0.014061	0.405004	179.688729	34.2	4	0	13.8	2.4	7	7.4	5	1.6	1.6	14.6	2.6	0.8	0	0.2	4.6	2.94	0.45	14.71	5.88	0.68	22.85	0.68	38.91	6.79	4.98	0.68	34.92	42.3	0.825531915
MP.6 	630		-5.291875	2	0.013877	0.013926	0.412254	184.529621	26.6	3.8	0	22.4	2.2	4.6	12	3	1	4	10.8	1.4	1	0	0.6	6.4	8.39	0.73	21.53	8.39	1.46	17.88	0	30.29	6.57	4.74	0	32.31	39.41	0.81984268
MP.5c 	600		-5.2975	2	-0.004419	0.01516	0.415559	189.49149	23.6	2.4	0	17	4.6	3.6	11.6	9.2	0.6	8.4	7.4	2.2	0.6	0.2	0.2	7.8	4.04	0	16.97	6.87	0	20.4	1.82	40	6.26	2.42	0.81	34.46	44.04	0.782470481
MP.5b 	590		-5.299375	2	0.014618	0.019663	0.403219	179.358813	25	7	0	13.6	3.8	5.2	8	7.8	1	3.4	13.2	2.8	0.8	0.4	0	8	2.82	0.94	15.98	3.2	0	14.85	3.57	47.93	8.83	1.5	0.38	31.68	51.69	0.612884504
MP.4d 	560		-5.305	2	0.000657	0.021418	0.391448	192.287254	25	9.6	0	17.4	4.4	5.4	8.2	6.2	0.4	5	8.8	2.2	1	0	0	6.2	3.09	0	13.9	4.63	1.16	22.78	2.32	44.79	2.7	4.63	0	32.84	47.88	0.68588137
MP.4c 	550		-5.306875	2	-0.022331	0.022331	0.391989	184.155653																	2.12	0.53	14.02	4.76	0.26	18.78	4.76	50	2.12	2.38	0.26	21.16	52.65	0.401899335
MP.4b 	540		-5.30875	2	0.000008	0.022093	0.401809	176.15869	27.4	9.6	0	13.4	2.8	5.4	11.8	3.8	0.2	5.4	8.2	1.6	0.6	0	0.6	9	4.09	0	17.54	7.6	0.58	0.88	23.39	40.35	3.8	1.75	0	14.26	44.44	0.320882088
