depth	Age.tie	Age.Ma	eccentricity	Precession	Obliquity	insolation
840	-5200	-5188	0.026265	-0.002086	0.4087	194.05835
		-5189	0.025239	0.0052	0.410333	193.476987
		-5190	0.024299	0.011429	0.411878	192.232326
		-5191	0.023306	0.016308	0.413312	190.41398
		-5192	0.022323	0.019446	0.414612	188.27242
		-5193	0.021371	0.020788	0.415764	186.027457
		-5194	0.020386	0.020364	0.416744	183.829285
		-5195	0.019476	0.018454	0.417535	181.881894
		-5196	0.018482	0.015238	0.41812	180.321969
		-5197	0.017566	0.01123	0.418483	179.200618
		-5198	0.016662	0.006794	0.418608	178.570257
		-5199	0.015695	0.002299	0.418491	178.446048
830	-5236	-5200	0.014802	-0.001816	0.41812	178.739391
		-5201	0.013926	-0.005271	0.417498	179.384308
		-5202	0.012982	-0.00796	0.416628	180.333899
		-5203	0.012119	-0.009617	0.415518	181.377693
		-5204	0.011238	-0.010382	0.414179	182.493941
		-5205	0.010354	-0.01026	0.412631	183.555983
		-5206	0.009503	-0.009443	0.410894	184.45514
		-5207	0.008623	-0.008083	0.408992	185.163054
		-5208	0.007859	-0.0065	0.406959	185.680977
		-5209	0.006987	-0.004779	0.404826	185.927345
		-5210	0.006254	-0.003207	0.402633	186.024162
		-5211	0.005572	-0.001887	0.400429	185.974398
		-5212	0.004896	-0.000869	0.398261	185.814644
		-5213	0.004376	-0.000165	0.396182	185.648344
		-5214	0.004026	0.000245	0.394252	185.516184
		-5215	0.003765	0.000527	0.392523	185.40796
		-5216	0.003775	0.000794	0.391052	185.394461
		-5217	0.004007	0.001114	0.389893	185.453609
		-5218	0.00432	0.001729	0.389088	185.49506
		-5219	0.004829	0.002524	0.388667	185.555565
		-5220	0.005442	0.00365	0.388663	185.527934
		-5221	0.006025	0.004887	0.389077	185.340865
		-5222	0.006764	0.006235	0.389909	185.01114
		-5223	0.007426	0.007331	0.391145	184.484071
		-5224	0.008189	0.008147	0.392751	183.750866
		-5225	0.008891	0.008328	0.394691	182.912674
		-5226	0.009627	0.007818	0.39692	181.999708
		-5227	0.010386	0.006456	0.399375	181.08523
		-5228	0.011082	0.004309	0.402	180.333978
		-5229	0.011789	0.001413	0.404732	179.795586
		-5230	0.012551	-0.001968	0.407497	179.550833
		-5231	0.013201	-0.005618	0.410229	179.720469
		-5232	0.013869	-0.009162	0.412864	180.285387
		-5233	0.014564	-0.012257	0.415326	181.220951
		-5234	0.015172	-0.014564	0.417557	182.551397
		-5235	0.015788	-0.015788	0.4195	184.115475
		-5236	0.016362	-0.015723	0.421101	185.797915
		-5237	0.016949	-0.014273	0.422323	187.515589
		-5238	0.017454	-0.011458	0.423136	189.021464
		-5239	0.017955	-0.007487	0.423516	190.206512
		-5240	0.018471	-0.002545	0.423459	190.953446
		-5241	0.018908	0.002812	0.422973	191.110997
		-5242	0.019339	0.008309	0.422063	190.654568
		-5243	0.01977	0.013247	0.420763	189.617407
		-5244	0.020173	0.017299	0.419105	188.020374
		-5245	0.020501	0.0199	0.417126	186.003249
		-5246	0.020882	0.020853	0.414881	183.787171
		-5247	0.02116	0.01985	0.412426	181.503269
		-5248	0.021471	0.017026	0.409819	179.410817
		-5249	0.021665	0.01247	0.407134	177.732345
		-5250	0.021902	0.00664	0.40444	176.595953
		-5251	0.022093	0.000008	0.401809	176.15869
		-5252	0.022162	-0.006729	0.399316	176.511828
		-5253	0.02229	-0.01294	0.397028	177.585119
		-5254	0.022357	-0.017951	0.395008	179.335251
		-5255	0.022305	-0.021161	0.393316	181.622405
		-5256	0.022331	-0.022331	0.391989	184.155653
		-5257	0.02223	-0.021153	0.391059	186.737307
		-5258	0.022155	-0.017855	0.390546	189.072712
		-5259	0.022016	-0.012724	0.390449	190.885351
		-5260	0.021827	-0.006349	0.390756	191.977401
		-5261	0.021721	0.000657	0.391448	192.287254
		-5262	0.021418	0.007392	0.392485	191.677018
		-5263	0.021219	0.013295	0.393824	190.336995
		-5264	0.020974	0.017655	0.39542	188.385025
		-5265	0.020642	0.02003	0.397213	186.026893
		-5266	0.020349	0.020283	0.399148	183.576801
		-5267	0.020027	0.018418	0.401171	181.289967
